category,part of speech,ojibwe word,definition,url
noun,ni,abwaanaak,"a spit, a stick for roasting something over a fire",https://ojibwe.lib.umn.edu/main-entry/abwaanaak-ni
noun,na,abwaanaako-bakwezhigan,bannock baked on a spit over a fire,https://ojibwe.lib.umn.edu/main-entry/abwaanaako-bakwezhigan-na
verb,vta,abwaazh,"roast, cook h/ over a fire",https://ojibwe.lib.umn.edu/main-entry/abwaazh-vta
verb,vai,abwe,"s/he roasts, cooks something over a fire",https://ojibwe.lib.umn.edu/main-entry/abwe-vai
verb,vai,abwemaagozi,s/he smells sweaty,https://ojibwe.lib.umn.edu/main-entry/abwemaagozi-vai
verb,vii,abwemaagwad,it smells sweaty,https://ojibwe.lib.umn.edu/main-entry/abwemaagwad-vii
verb,vai-o,abwen,"roast, cook it over a fire; s/he cooks (it) over a fire",https://ojibwe.lib.umn.edu/main-entry/abwen-vai-o
verb,vai,abwendibe,s/he has a sweaty head,https://ojibwe.lib.umn.edu/main-entry/abwendibe-vai
verb,vai,abwenike,s/he has a sweaty arm or sweaty arms,https://ojibwe.lib.umn.edu/main-entry/abwenike-vai
verb,vai,abweninjii,s/he has a sweaty hand,https://ojibwe.lib.umn.edu/main-entry/abweninjii-vai
verb,vta,abwewas,cure h/ over a fire,https://ojibwe.lib.umn.edu/main-entry/abwewas-vta
verb,vti,abwewasan,cure it over a fire,https://ojibwe.lib.umn.edu/main-entry/abwewasan-vti
noun,ni,abwewasigan,fire-cured meat or fish,https://ojibwe.lib.umn.edu/main-entry/abwewasigan-ni
verb,vai,abwewasige,s/he cures things over a fire,https://ojibwe.lib.umn.edu/main-entry/abwewasige-vai
noun,ni,abwewin,a frying pan,https://ojibwe.lib.umn.edu/main-entry/abwewin-ni
noun,ni,abwewinaabik,a frying pan,https://ojibwe.lib.umn.edu/main-entry/abwewinaabik-ni
verb,vai,abweyiingwe,s/he has a sweaty face,https://ojibwe.lib.umn.edu/main-entry/abweyiingwe-vai
verb,vai,abwezide,s/he has a sweaty foot,https://ojibwe.lib.umn.edu/main-entry/abwezide-vai
verb,vai,abwezo,s/he sweats,https://ojibwe.lib.umn.edu/main-entry/abwezo-vai
noun,ni,abwi,a paddle,https://ojibwe.lib.umn.edu/main-entry/abwi-ni
verb,vta,abwiikaw,make a paddle or paddles for h/,https://ojibwe.lib.umn.edu/main-entry/abwiikaw-vta
noun,na,abwiikaan,a propeller,https://ojibwe.lib.umn.edu/main-entry/abwiikaan-na
noun,na,abwiikaanens,a boat propeller or outboard motor propeller,https://ojibwe.lib.umn.edu/main-entry/abwiikaanens-na
verb,vai,abwiike,s/he makes paddles,https://ojibwe.lib.umn.edu/main-entry/abwiike-vai
noun,ni,achaab,a bowstring,https://ojibwe.lib.umn.edu/main-entry/achaab-ni
verb,vai,achaabike,s/he makes a bowstring,https://ojibwe.lib.umn.edu/main-entry/achaabike-vai
verb,vai,achaawise,s/he limps,https://ojibwe.lib.umn.edu/main-entry/achaawise-vai
verb,vti,achigaadan,"bet, wager it",https://ojibwe.lib.umn.edu/main-entry/achigaadan-vti
verb,vii,achigaade,"it is put in a certain place (by someone), ""they"" put it in  a certain place",https://ojibwe.lib.umn.edu/main-entry/achigaade-vii
verb,vta,achigaazh,"bet, wager h/",https://ojibwe.lib.umn.edu/main-entry/achigaazh-vta
verb,vai,achigaazo,"s/he is put in a certain place (by someone), ""they"" put h/ in a certain place",https://ojibwe.lib.umn.edu/main-entry/achigaazo-vai
verb,vai,achige,"s/he puts things in a certain places/he bets, places a bet",https://ojibwe.lib.umn.edu/main-entry/achige-vai
verb,vta,adaam,buy (it) from h/,https://ojibwe.lib.umn.edu/main-entry/adaam-vta
verb,vai,adaandiwag,they buy (it) from each other,https://ojibwe.lib.umn.edu/main-entry/adaandiwag-vai
verb,vta,adaawam,"borrow (it) from, rent (it) from h/",https://ojibwe.lib.umn.edu/main-entry/adaawam-vta
verb,vai,adaawange,"borrow it , rent it from someone",https://ojibwe.lib.umn.edu/main-entry/adaawange-vai
verb,vai-o,adaawangen,"borrow, rent it from people",https://ojibwe.lib.umn.edu/main-entry/adaawangen-vai-o
verb,vai,adaawangeshki,s/he always borrows,https://ojibwe.lib.umn.edu/main-entry/adaawangeshki-vai
noun,ni,adaawaagan,"something for sale, merchandise; fur for trade",https://ojibwe.lib.umn.edu/main-entry/adaawaagan-ni
verb,vai,adaawaage,s/he sells,https://ojibwe.lib.umn.edu/main-entry/adaawaage-vai
verb,vai-o,adaawaagen,sell it,https://ojibwe.lib.umn.edu/main-entry/adaawaagen-vai-o
verb,vta,adaawaagetamaw,sell (it) for h/,https://ojibwe.lib.umn.edu/main-entry/adaawaagetamaw-vta
verb,vai,adaawe,s/he buys,https://ojibwe.lib.umn.edu/main-entry/adaawe-vai
verb,vai-o,adaawen,s/he buys (it),https://ojibwe.lib.umn.edu/main-entry/adaawen-vai-o
verb,vai,adaawensi,s/he buys a little bit,https://ojibwe.lib.umn.edu/main-entry/adaawensi-vai
verb,vta,adaawetamaw,buy (it) for h/,https://ojibwe.lib.umn.edu/main-entry/adaawetamaw-vta
verb,vai,adaawetamaadiwag,they buy (it) for each other,https://ojibwe.lib.umn.edu/main-entry/adaawetamaadiwag-vai
verb,vai,adaawetamaadizo,s/he buys (it) for h/ self,https://ojibwe.lib.umn.edu/main-entry/adaawetamaadizo-vai
verb,vai,adaawetamaage,s/he buys (it) for others,https://ojibwe.lib.umn.edu/main-entry/adaawetamaage-vai
verb,vai,adaawetamaazo,s/he buys (it) for h/ self,https://ojibwe.lib.umn.edu/main-entry/adaawetamaazo-vai
noun,ni,adaawewigamig,"a store, a shop, a trading post",https://ojibwe.lib.umn.edu/main-entry/adaawewigamig-ni
noun,na,adaawewikwe,"a store keeper, a merchant, a store clerk, a trader (female)",https://ojibwe.lib.umn.edu/main-entry/adaawewikwe-na
verb,vai,adaawewikwewi,"she is a female storekeeper, merchant, store clerk, or trader",https://ojibwe.lib.umn.edu/main-entry/adaawewikwewi-vai
noun,ni,adaawewin,"item for sale, for purchase, or purchased; (one's) shopping or groceries",https://ojibwe.lib.umn.edu/main-entry/adaawewin-ni
noun,na,adaawewinini,"a store keeper, a merchant, a store clerk, a trader",https://ojibwe.lib.umn.edu/main-entry/adaawewinini-na
noun,na,adaawewininiikwe,"a store keeper, a merchant, a store clerk, a trader (female)",https://ojibwe.lib.umn.edu/main-entry/adaawewininiikwe-na
verb,vai,adaawewininiikwewi,"she is a female storekeeper, merchant, store clerk, or trader",https://ojibwe.lib.umn.edu/main-entry/adaawewininiikwewi-vai
verb,vai,adaawewininiiwi,"he is a storekeeper, merchant, store clerk, or trader",https://ojibwe.lib.umn.edu/main-entry/adaawewininiiwi-vai
noun,na,adik,"a caribou, a reindeer",https://ojibwe.lib.umn.edu/main-entry/adik-na
noun,na,adikameg,a whitefish,https://ojibwe.lib.umn.edu/main-entry/adikameg-na
noun,ni,adikinaagan,a cradle board,https://ojibwe.lib.umn.edu/main-entry/adikinaagan-ni
noun,ni,adiko-wiiyaas,caribou meat,https://ojibwe.lib.umn.edu/main-entry/adiko-wiiyaas-ni
verb,vii,adikokaa,there are (a lot of) caribou,https://ojibwe.lib.umn.edu/main-entry/adikokaa-vii
verb,vta,adim,"catch up to, overtake h/",https://ojibwe.lib.umn.edu/main-entry/adim-vta
verb,vta,adima',"catch up to, overtake h/  (by boat)",https://ojibwe.lib.umn.edu/main-entry/adima-vta
verb,vti,adima'an,"catch up to, overtake it (by boat)",https://ojibwe.lib.umn.edu/main-entry/adima-an-vti
verb,vta,adima'azh,catch up to h/ following h/ tracks or trail,https://ojibwe.lib.umn.edu/main-entry/adima-azh-vta
verb,vta,adima'wi,"catch up to, overtake h/  (by boat)",https://ojibwe.lib.umn.edu/main-entry/adima-wi-vta
noun,ni,adiman,a snowshoe strap,https://ojibwe.lib.umn.edu/main-entry/adiman-ni
verb,vta,adimanikaw,make a snowshoe strap for h/,https://ojibwe.lib.umn.edu/main-entry/adimanikaw-vta
verb,vta,adimanikaazh,put a snowshoe strap on it (animate; snowshoe),https://ojibwe.lib.umn.edu/main-entry/adimanikaazh-vta
verb,vai,adimanike,s/he puts the footstrap on snowshoes,https://ojibwe.lib.umn.edu/main-entry/adimanike-vai
verb,vti,adindan,"catch up to, overtake it",https://ojibwe.lib.umn.edu/main-entry/adindan-vti
verb,vta,adis,"dye, color h/ or it (animate)",https://ojibwe.lib.umn.edu/main-entry/adis-vta
verb,vta,adisamaw,"dye, color (it) for h/",https://ojibwe.lib.umn.edu/main-entry/adisamaw-vta
verb,vti,adisan,"dye, color it",https://ojibwe.lib.umn.edu/main-entry/adisan-vti
noun,ni,adisigan,a dye,https://ojibwe.lib.umn.edu/main-entry/adisigan-ni
verb,vii,adisigaade,"it is dyed, colored (by someone), ""they"" dye, color it",https://ojibwe.lib.umn.edu/main-entry/adisigaade-vii
verb,vai,adisigaazo,"it (animate) is dyed, colored (by someone), ""they"" dye, color it (animate)",https://ojibwe.lib.umn.edu/main-entry/adisigaazo-vai
verb,vai,adisige,"s/he dyes, colors things",https://ojibwe.lib.umn.edu/main-entry/adisige-vai
verb,vai,adiso,"it (animate) is ripe (of a fruit or berry)s/he or it (animate) is dyed, is colored",https://ojibwe.lib.umn.edu/main-entry/adiso-vai
verb,vta,adiswi,"dye, color h/ or it (animate)",https://ojibwe.lib.umn.edu/main-entry/adiswi-vta
verb,vii,adite,"it is ripe (of a fruit or berry)it is dyed, colored",https://ojibwe.lib.umn.edu/main-entry/adite-vii
verb,vii,aditebagaa,there are coloured leaves,https://ojibwe.lib.umn.edu/main-entry/aditebagaa-vii
noun,ni,adoop,an alder,https://ojibwe.lib.umn.edu/main-entry/adoop-ni
noun,ni,adoopaakonisag,dry firewood of alder twigs,https://ojibwe.lib.umn.edu/main-entry/adoopaakonisag-ni
noun,ni,adoopiibag,an alder leaf,https://ojibwe.lib.umn.edu/main-entry/adoopiibag-ni
verb,vii,adoopiikaa,there are alders there,https://ojibwe.lib.umn.edu/main-entry/adoopiikaa-vii
noun,ni,adoopowin,a table,https://ojibwe.lib.umn.edu/main-entry/adoopowin-ni
noun,ni,adoopowinaak,a table,https://ojibwe.lib.umn.edu/main-entry/adoopowinaak-ni
noun,ni,adoopowiniigin,a table cloth,https://ojibwe.lib.umn.edu/main-entry/adoopowiniigin-ni
verb,vai2,agadendam,"s/he is ashamed, feels shy,  is embarrassed",https://ojibwe.lib.umn.edu/main-entry/agadendam-vai2
verb,vti,agadendan,be ashamed of it,https://ojibwe.lib.umn.edu/main-entry/agadendan-vti
verb,vai,agadendaagozi,"s/he seems ashamed, shy, embarrassed",https://ojibwe.lib.umn.edu/main-entry/agadendaagozi-vai
verb,vii,agadendaagwad,"it is shameful, is embarrassing",https://ojibwe.lib.umn.edu/main-entry/agadendaagwad-vii
verb,vta,agadenim,"be ashamed of, be embarrassed by h/",https://ojibwe.lib.umn.edu/main-entry/agadenim-vta
verb,vai,agaji,"s/he is ashamed, is shy, is bashful",https://ojibwe.lib.umn.edu/main-entry/agaji-vai
verb,vta,agaji',"make h/ ashamed, embarrass h/, disgrace h/",https://ojibwe.lib.umn.edu/main-entry/agaji-vta
verb,vai,agaji'iwe,s/he embarrasses (people),https://ojibwe.lib.umn.edu/main-entry/agaji-iwe-vai
verb,vai,agajishki,s/he is a shy person,https://ojibwe.lib.umn.edu/main-entry/agajishki-vai
verb,vti2,agajitoon,be ashamed of it,https://ojibwe.lib.umn.edu/main-entry/agajitoon-vti2
noun,ni,agajiwin,shame,https://ojibwe.lib.umn.edu/main-entry/agajiwin-ni
verb,vta,agajiitaw,"be shy in front of, be ashamed before h/",https://ojibwe.lib.umn.edu/main-entry/agajiitaw-vta
adverb,adv-loc,agamiing,on the shore; at the water; at the lake,https://ojibwe.lib.umn.edu/main-entry/agamiing-adv-loc
verb,vai,agawaatebi,s/he sits or lies in the shade,https://ojibwe.lib.umn.edu/main-entry/agawaatebi-vai
verb,vii,agawaatebiigisin,it is reflected in the water,https://ojibwe.lib.umn.edu/main-entry/agawaatebiigisin-vii
verb,vai,agawaatebiigishin,"s/he casts a shadow on the water, is reflected in the water",https://ojibwe.lib.umn.edu/main-entry/agawaatebiigishin-vai
noun,ni,agawaate'on,an umbrella,https://ojibwe.lib.umn.edu/main-entry/agawaate-on-ni
verb,vai,agawaatese,s/he casts a shadow flying,https://ojibwe.lib.umn.edu/main-entry/agawaatese-vai
verb,vii,agawaatese,it casts a shadow flying,https://ojibwe.lib.umn.edu/main-entry/agawaatese-vii
verb,vii,agawaatesin,it is in shade; it is in shadow,https://ojibwe.lib.umn.edu/main-entry/agawaatesin-vii
verb,vai,agawaateshin,s/he is in shade; s/he is in shadow,https://ojibwe.lib.umn.edu/main-entry/agawaateshin-vai
verb,vti,agawaateshkan,shade it; cast a shadow on it,https://ojibwe.lib.umn.edu/main-entry/agawaateshkan-vti
verb,vta,agawaateshkaw,shade h/; cast a shadow on h/,https://ojibwe.lib.umn.edu/main-entry/agawaateshkaw-vta
verb,vii,agawaateshkaa,it moves into the shade or or a shadow,https://ojibwe.lib.umn.edu/main-entry/agawaateshkaa-vii
verb,vai,agawaateshkaa,s/he moves into the shade or a shadow,https://ojibwe.lib.umn.edu/main-entry/agawaateshkaa-vai
verb,vii,agawaateyaa,there is shadow; there is shade,https://ojibwe.lib.umn.edu/main-entry/agawaateyaa-vii
verb,vai,agazitaagozi,s/he sounds embarrassing (what s/he says is embarrassing),https://ojibwe.lib.umn.edu/main-entry/agazitaagozi-vai
verb,vii,agazitaagwad,it sounds embarrassing,https://ojibwe.lib.umn.edu/main-entry/agazitaagwad-vii
verb,vta,agazom,embarrass h/ by speech,https://ojibwe.lib.umn.edu/main-entry/agazom-vta
verb,vai,agazondiwag,they speak and embarrass each other,https://ojibwe.lib.umn.edu/main-entry/agazondiwag-vai
verb,vai,agazondizo,s/he embarasses h/ self in speech,https://ojibwe.lib.umn.edu/main-entry/agazondizo-vai
verb,vai,agazonge,s/he speaks embarassing people,https://ojibwe.lib.umn.edu/main-entry/agazonge-vai
adverb,adv-loc,agaamajiw,across on the other hill or mountain,https://ojibwe.lib.umn.edu/main-entry/agaamajiw-adv-loc
adverb,adv-loc,agaamakiing,"overseas, in Europe",https://ojibwe.lib.umn.edu/main-entry/agaamakiing-adv-loc
adverb,adv-loc,agaamashkiig,across a muskeg,https://ojibwe.lib.umn.edu/main-entry/agaamashkiig-adv-loc
adverb,adv-loc,agaamashkosiw,on the other side of a meadow or hay field,https://ojibwe.lib.umn.edu/main-entry/agaamashkosiw-adv-loc
adverb,adv-loc,agaamaya'ii,"across something, across the way",https://ojibwe.lib.umn.edu/main-entry/agaamaya-ii-adv-loc
adverb,adv-loc,agaamayi'ii,on the other side of it; across it,https://ojibwe.lib.umn.edu/main-entry/agaamayi-ii-adv-loc
adverb,adv-loc,agaamaabik,across on the other rock or rocks,https://ojibwe.lib.umn.edu/main-entry/agaamaabik-adv-loc
adverb,adv-loc,agaamaakwaa,in the woods on the other side of the clearing or across an open area,https://ojibwe.lib.umn.edu/main-entry/agaamaakwaa-adv-loc
preverb,pv-lex,agaami-,on the other side of; across,https://ojibwe.lib.umn.edu/main-entry/agaami-pv-lex
adverb,adv-loc,agaami-ishkodewidaabaanikana,on the other side of the tracks,https://ojibwe.lib.umn.edu/main-entry/agaami-ishkodewidaabaanikana-adv-loc
adverb,adv-loc,agaami-oodena,"across town, on the other side of town",https://ojibwe.lib.umn.edu/main-entry/agaami-oodena-adv-loc
adverb,adv-loc,agaami-zaaga'igan,across the lake,https://ojibwe.lib.umn.edu/main-entry/agaami-zaaga-igan-adv-loc
adverb,adv-loc,agaami-ziibi,across the river,https://ojibwe.lib.umn.edu/main-entry/agaami-ziibi-adv-loc
adverb,adv-loc,agaamikana,"on the other side of the road or trail, across the road or trail",https://ojibwe.lib.umn.edu/main-entry/agaamikana-adv-loc
adverb,adv-loc,agaamikwam,across the ice on the other side,https://ojibwe.lib.umn.edu/main-entry/agaamikwam-adv-loc
verb,vta,agaamindekaw,live across from h/ in the lodge,https://ojibwe.lib.umn.edu/main-entry/agaamindekaw-vta
verb,vai,agaamindekodaadiwag,they live cross from each other in the lodge,https://ojibwe.lib.umn.edu/main-entry/agaamindekodaadiwag-vai
adverb,adv-loc,agaamindesi,on the other side of the lodge (across the fire),https://ojibwe.lib.umn.edu/main-entry/agaamindesi-adv-loc
adverb,adv-loc,agaaming,"on the other side of a body of water (a lake, a river), across a body of water (a lake, a river)",https://ojibwe.lib.umn.edu/main-entry/agaaming-adv-loc
adverb,adv-loc,agaamisag,across in the other room,https://ojibwe.lib.umn.edu/main-entry/agaamisag-adv-loc
adverb,adv-loc,agaamishkode,"on the other side of the fire, across the fire",https://ojibwe.lib.umn.edu/main-entry/agaamishkode-adv-loc
noun,ni,agaamiigin,the front of a page; the recto,https://ojibwe.lib.umn.edu/main-entry/agaamiigin-ni
verb,vii,agaasadegamaa,it is a narrow lake,https://ojibwe.lib.umn.edu/main-entry/agaasadegamaa-vii
verb,vta,agaasade',make h/ narrow,https://ojibwe.lib.umn.edu/main-entry/agaasade-vta
verb,vii,agaasadekamigaa,it is a narrow stretch of ground,https://ojibwe.lib.umn.edu/main-entry/agaasadekamigaa-vii
verb,vii,agaasademon,it is a narrow road or trail,https://ojibwe.lib.umn.edu/main-entry/agaasademon-vii
verb,vai,agaasadengwe,s/he has a narrow face,https://ojibwe.lib.umn.edu/main-entry/agaasadengwe-vai
verb,vii,agaasadesagaa,"it has a narrow floor area, is a narrow room",https://ojibwe.lib.umn.edu/main-entry/agaasadesagaa-vii
verb,vii,agaasadetigweyaa,it (a river) is narrow,https://ojibwe.lib.umn.edu/main-entry/agaasadetigweyaa-vii
verb,vti2,agaasadetoon,make it narrow,https://ojibwe.lib.umn.edu/main-entry/agaasadetoon-vti2
verb,vii,agaasadeyaa,it is narrow,https://ojibwe.lib.umn.edu/main-entry/agaasadeyaa-vii
verb,vii,agaasadeyaabikad,it (mineral) is narrow,https://ojibwe.lib.umn.edu/main-entry/agaasadeyaabikad-vii
verb,vai,agaasadeyaabikizi,it (animate; mineral) is narrow,https://ojibwe.lib.umn.edu/main-entry/agaasadeyaabikizi-vai
verb,vii,agaasadeyaabiigad,"it (string-like) is narrow, is thin (in width)",https://ojibwe.lib.umn.edu/main-entry/agaasadeyaabiigad-vii
verb,vai,agaasadeyaabiigizi,"it (animate; string-like) is narrow, is thin (in width)",https://ojibwe.lib.umn.edu/main-entry/agaasadeyaabiigizi-vai
verb,vai,agaasadeyaakozi,it (animate; stick-like) is narrow,https://ojibwe.lib.umn.edu/main-entry/agaasadeyaakozi-vai
verb,vii,agaasadeyaakwad,it (stick-like) is narrow,https://ojibwe.lib.umn.edu/main-entry/agaasadeyaakwad-vii
verb,vii,agaasadeyiigad,it (sheet-like) is narrow,https://ojibwe.lib.umn.edu/main-entry/agaasadeyiigad-vii
verb,vai,agaasadeyiigizi,it (animate; sheet-like) is narrow,https://ojibwe.lib.umn.edu/main-entry/agaasadeyiigizi-vai
verb,vii,agaasadeyoonagad,it (a boat) is narrow,https://ojibwe.lib.umn.edu/main-entry/agaasadeyoonagad-vii
verb,vti,agaasadezhan,cut it narrow,https://ojibwe.lib.umn.edu/main-entry/agaasadezhan-vti
verb,vai,agaasadezi,s/he is narrow,https://ojibwe.lib.umn.edu/main-entry/agaasadezi-vai
verb,vai,agaasadezide,s/he has narrow feet,https://ojibwe.lib.umn.edu/main-entry/agaasadezide-vai
verb,vta,agaasadezhwi,cut it (animate) narrow,https://ojibwe.lib.umn.edu/main-entry/agaasadezhwi-vta
verb,vii,agaasadinaa,there is a small hill,https://ojibwe.lib.umn.edu/main-entry/agaasadinaa-vii
verb,vii,agaasashkiigaa,it is a small muskeg,https://ojibwe.lib.umn.edu/main-entry/agaasashkiigaa-vii
verb,vii,agaasate,it is a small house or room,https://ojibwe.lib.umn.edu/main-entry/agaasate-vii
verb,vii,agaasaa,it is small,https://ojibwe.lib.umn.edu/main-entry/agaasaa-vii
verb,vai,agaasaabaminaagozi,"s/he, it (animate) looks small, seems small",https://ojibwe.lib.umn.edu/main-entry/agaasaabaminaagozi-vai
verb,vii,agaasaabikad,it (mineral) is small,https://ojibwe.lib.umn.edu/main-entry/agaasaabikad-vii
verb,vai,agaasaabikizi,it (animate; mineral) is small; there is a crescent moon,https://ojibwe.lib.umn.edu/main-entry/agaasaabikizi-vai
verb,vii,agaasaabiigad,"it (string-like) is small, is fine",https://ojibwe.lib.umn.edu/main-entry/agaasaabiigad-vii
verb,vai,agaasaabiigizi,"it (animate; string-like) is small, is fine",https://ojibwe.lib.umn.edu/main-entry/agaasaabiigizi-vai
verb,vai,agaasaakozi,it (animate; stick-like) is small,https://ojibwe.lib.umn.edu/main-entry/agaasaakozi-vai
verb,vii,agaasaakwad,it (stick-like) is small,https://ojibwe.lib.umn.edu/main-entry/agaasaakwad-vii
verb,vii,agaasaakwashkad,it (plant) has a small thin stalk,https://ojibwe.lib.umn.edu/main-entry/agaasaakwashkad-vii
verb,vai,agaasaakwaanowe,s/he has a small furry tail,https://ojibwe.lib.umn.edu/main-entry/agaasaakwaanowe-vai
verb,vai,agaasaanowe,s/he (an animal) has a small skinny tail,https://ojibwe.lib.umn.edu/main-entry/agaasaanowe-vai
verb,vti2,agaasaatoon,make it small,https://ojibwe.lib.umn.edu/main-entry/agaasaatoon-vti2
verb,vti,agaasendan,"think little of it, think it insignificant",https://ojibwe.lib.umn.edu/main-entry/agaasendan-vti
verb,vai,agaasendaagozi,s/he is thought insignificant,https://ojibwe.lib.umn.edu/main-entry/agaasendaagozi-vai
verb,vii,agaasendaagwad,it is thought insignificant,https://ojibwe.lib.umn.edu/main-entry/agaasendaagwad-vii
verb,vta,agaasenim,think little of h/; think h/ insignificant,https://ojibwe.lib.umn.edu/main-entry/agaasenim-vta
