ojibwe word,part of speech,url,definition
achaab,ni,https://ojibwe.lib.umn.edu/main-entry/achaab-ni,a bowstring
achaabike,vai,https://ojibwe.lib.umn.edu/main-entry/achaabike-vai,s/he makes a bowstring
achaawise,vai,https://ojibwe.lib.umn.edu/main-entry/achaawise-vai,s/he limps
achigaadan,vti,https://ojibwe.lib.umn.edu/main-entry/achigaadan-vti,"bet, wager it"
achigaade,vii,https://ojibwe.lib.umn.edu/main-entry/achigaade-vii,"it is put in a certain place (by someone), ""they"" put it in  a certain place"
achigaazh,vta,https://ojibwe.lib.umn.edu/main-entry/achigaazh-vta,"bet, wager h/"
achigaazo,vai,https://ojibwe.lib.umn.edu/main-entry/achigaazo-vai,"s/he is put in a certain place (by someone), ""they"" put h/ in a certain place"
achige,vai,https://ojibwe.lib.umn.edu/main-entry/achige-vai,"s/he puts things in a certain places/he bets, places a bet"
achikinaakobijigan,ni,https://ojibwe.lib.umn.edu/main-entry/achikinaakobijigan-ni,skip
adaam,vta,https://ojibwe.lib.umn.edu/main-entry/adaam-vta,buy (it) from h/
adaandiwag,vai,https://ojibwe.lib.umn.edu/main-entry/adaandiwag-vai,they buy (it) from each other
adaawam,vta,https://ojibwe.lib.umn.edu/main-entry/adaawam-vta,"borrow (it) from, rent (it) from h/"
adaawange,vai,https://ojibwe.lib.umn.edu/main-entry/adaawange-vai,"borrow it , rent it from someone"
adaawangen,vai-o,https://ojibwe.lib.umn.edu/main-entry/adaawangen-vai-o,"borrow, rent it from people"
adaawangeshki,vai,https://ojibwe.lib.umn.edu/main-entry/adaawangeshki-vai,s/he always borrows
adaawaagan,ni,https://ojibwe.lib.umn.edu/main-entry/adaawaagan-ni,"something for sale, merchandise; fur for trade"
adaawaage,vai,https://ojibwe.lib.umn.edu/main-entry/adaawaage-vai,s/he sells
adaawaagen,vai-o,https://ojibwe.lib.umn.edu/main-entry/adaawaagen-vai-o,sell it
adaawaagetamaw,vta,https://ojibwe.lib.umn.edu/main-entry/adaawaagetamaw-vta,sell (it) for h/
adaawe,vai,https://ojibwe.lib.umn.edu/main-entry/adaawe-vai,s/he buys
adaawen,vai-o,https://ojibwe.lib.umn.edu/main-entry/adaawen-vai-o,s/he buys (it)
adaawensi,vai,https://ojibwe.lib.umn.edu/main-entry/adaawensi-vai,s/he buys a little bit
adaawetamaw,vta,https://ojibwe.lib.umn.edu/main-entry/adaawetamaw-vta,buy (it) for h/
adaawetamaadiwag,vai,https://ojibwe.lib.umn.edu/main-entry/adaawetamaadiwag-vai,they buy (it) for each other
adaawetamaadizo,vai,https://ojibwe.lib.umn.edu/main-entry/adaawetamaadizo-vai,s/he buys (it) for h/ self
adaawetamaage,vai,https://ojibwe.lib.umn.edu/main-entry/adaawetamaage-vai,s/he buys (it) for others
adaawetamaazo,vai,https://ojibwe.lib.umn.edu/main-entry/adaawetamaazo-vai,s/he buys (it) for h/ self
adaawewigamig,ni,https://ojibwe.lib.umn.edu/main-entry/adaawewigamig-ni,"a store, a shop, a trading post"
adaawewikwe,na,https://ojibwe.lib.umn.edu/main-entry/adaawewikwe-na,"a store keeper, a merchant, a store clerk, a trader (female)"
adaawewikwewi,vai,https://ojibwe.lib.umn.edu/main-entry/adaawewikwewi-vai,"she is a female storekeeper, merchant, store clerk, or trader"
adaawewin,ni,https://ojibwe.lib.umn.edu/main-entry/adaawewin-ni,"item for sale, for purchase, or purchased; (one's) shopping or groceries"
adaawewinini,na,https://ojibwe.lib.umn.edu/main-entry/adaawewinini-na,"a store keeper, a merchant, a store clerk, a trader"
adaawewininiikwe,na,https://ojibwe.lib.umn.edu/main-entry/adaawewininiikwe-na,"a store keeper, a merchant, a store clerk, a trader (female)"
adaawewininiikwewi,vai,https://ojibwe.lib.umn.edu/main-entry/adaawewininiikwewi-vai,"she is a female storekeeper, merchant, store clerk, or trader"
adaawewininiiwi,vai,https://ojibwe.lib.umn.edu/main-entry/adaawewininiiwi-vai,"he is a storekeeper, merchant, store clerk, or trader"
adik,na,https://ojibwe.lib.umn.edu/main-entry/adik-na,"a caribou, a reindeer"
adikameg,na,https://ojibwe.lib.umn.edu/main-entry/adikameg-na,a whitefish
adikinaagan,ni,https://ojibwe.lib.umn.edu/main-entry/adikinaagan-ni,a cradle board
adiko-wiiyaas,ni,https://ojibwe.lib.umn.edu/main-entry/adiko-wiiyaas-ni,caribou meat
adikokaa,vii,https://ojibwe.lib.umn.edu/main-entry/adikokaa-vii,there are (a lot of) caribou
adim,vta,https://ojibwe.lib.umn.edu/main-entry/adim-vta,"catch up to, overtake h/"
adima',vta,https://ojibwe.lib.umn.edu/main-entry/adima-vta,"catch up to, overtake h/  (by boat)"
adima'an,vti,https://ojibwe.lib.umn.edu/main-entry/adima-an-vti,"catch up to, overtake it (by boat)"
adima'azh,vta,https://ojibwe.lib.umn.edu/main-entry/adima-azh-vta,catch up to h/ following h/ tracks or trail
adima'wi,vta,https://ojibwe.lib.umn.edu/main-entry/adima-wi-vta,"catch up to, overtake h/  (by boat)"
adiman,ni,https://ojibwe.lib.umn.edu/main-entry/adiman-ni,a snowshoe strap
adimanikaw,vta,https://ojibwe.lib.umn.edu/main-entry/adimanikaw-vta,make a snowshoe strap for h/
adimanikaazh,vta,https://ojibwe.lib.umn.edu/main-entry/adimanikaazh-vta,put a snowshoe strap on it (animate; snowshoe)
adimanike,vai,https://ojibwe.lib.umn.edu/main-entry/adimanike-vai,s/he puts the footstrap on snowshoes
adindan,vti,https://ojibwe.lib.umn.edu/main-entry/adindan-vti,"catch up to, overtake it"
adis,vta,https://ojibwe.lib.umn.edu/main-entry/adis-vta,"dye, color h/ or it (animate)"
adisamaw,vta,https://ojibwe.lib.umn.edu/main-entry/adisamaw-vta,"dye, color (it) for h/"
adisan,vti,https://ojibwe.lib.umn.edu/main-entry/adisan-vti,"dye, color it"
adisigan,ni,https://ojibwe.lib.umn.edu/main-entry/adisigan-ni,a dye
adisigaade,vii,https://ojibwe.lib.umn.edu/main-entry/adisigaade-vii,"it is dyed, colored (by someone), ""they"" dye, color it"
adisigaazo,vai,https://ojibwe.lib.umn.edu/main-entry/adisigaazo-vai,"it (animate) is dyed, colored (by someone), ""they"" dye, color it (animate)"
adisige,vai,https://ojibwe.lib.umn.edu/main-entry/adisige-vai,"s/he dyes, colors things"
adiso,vai,https://ojibwe.lib.umn.edu/main-entry/adiso-vai,"it (animate) is ripe (of a fruit or berry)s/he or it (animate) is dyed, is colored"
adiswi,vta,https://ojibwe.lib.umn.edu/main-entry/adiswi-vta,"dye, color h/ or it (animate)"
adite,vii,https://ojibwe.lib.umn.edu/main-entry/adite-vii,"it is ripe (of a fruit or berry)it is dyed, colored"
aditebagaa,vii,https://ojibwe.lib.umn.edu/main-entry/aditebagaa-vii,there are coloured leaves
adoop,ni,https://ojibwe.lib.umn.edu/main-entry/adoop-ni,an alder
adoopaakonisag,ni,https://ojibwe.lib.umn.edu/main-entry/adoopaakonisag-ni,dry firewood of alder twigs
adoopiibag,ni,https://ojibwe.lib.umn.edu/main-entry/adoopiibag-ni,an alder leaf
adoopiikaa,vii,https://ojibwe.lib.umn.edu/main-entry/adoopiikaa-vii,there are alders there
adoopon,vai-o,https://ojibwe.lib.umn.edu/main-entry/adoopon-vai-o,skip
adoopowin,ni,https://ojibwe.lib.umn.edu/main-entry/adoopowin-ni,a table
adoopowinaak,ni,https://ojibwe.lib.umn.edu/main-entry/adoopowinaak-ni,a table
adoopowiniigin,ni,https://ojibwe.lib.umn.edu/main-entry/adoopowiniigin-ni,a table cloth
agadendam,vai2,https://ojibwe.lib.umn.edu/main-entry/agadendam-vai2,"s/he is ashamed, feels shy,  is embarrassed"
agadendan,vti,https://ojibwe.lib.umn.edu/main-entry/agadendan-vti,be ashamed of it
agadendaagozi,vai,https://ojibwe.lib.umn.edu/main-entry/agadendaagozi-vai,"s/he seems ashamed, shy, embarrassed"
agadendaagwad,vii,https://ojibwe.lib.umn.edu/main-entry/agadendaagwad-vii,"it is shameful, is embarrassing"
agadenim,vta,https://ojibwe.lib.umn.edu/main-entry/agadenim-vta,"be ashamed of, be embarrassed by h/"
agaji,vai,https://ojibwe.lib.umn.edu/main-entry/agaji-vai,"s/he is ashamed, is shy, is bashful"
agaji',vta,https://ojibwe.lib.umn.edu/main-entry/agaji-vta,"make h/ ashamed, embarrass h/, disgrace h/"
agaji'iwe,vai,https://ojibwe.lib.umn.edu/main-entry/agaji-iwe-vai,s/he embarrasses (people)
agajishki,vai,https://ojibwe.lib.umn.edu/main-entry/agajishki-vai,s/he is a shy person
agajitoon,vti2,https://ojibwe.lib.umn.edu/main-entry/agajitoon-vti2,be ashamed of it
agajiwin,ni,https://ojibwe.lib.umn.edu/main-entry/agajiwin-ni,shame
agajiitaw,vta,https://ojibwe.lib.umn.edu/main-entry/agajiitaw-vta,"be shy in front of, be ashamed before h/"
agamiing,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agamiing-adv-loc,on the shore; at the water; at the lake
agawaatebi,vai,https://ojibwe.lib.umn.edu/main-entry/agawaatebi-vai,s/he sits or lies in the shade
agawaatebiigisin,vii,https://ojibwe.lib.umn.edu/main-entry/agawaatebiigisin-vii,it is reflected in the water
agawaatebiigishin,vai,https://ojibwe.lib.umn.edu/main-entry/agawaatebiigishin-vai,"s/he casts a shadow on the water, is reflected in the water"
agawaate'on,ni,https://ojibwe.lib.umn.edu/main-entry/agawaate-on-ni,an umbrella
agawaatese,vai,https://ojibwe.lib.umn.edu/main-entry/agawaatese-vai,s/he casts a shadow flying
agawaatese,vii,https://ojibwe.lib.umn.edu/main-entry/agawaatese-vii,it casts a shadow flying
agawaatesin,vii,https://ojibwe.lib.umn.edu/main-entry/agawaatesin-vii,it is in shade; it is in shadow
agawaateshin,vai,https://ojibwe.lib.umn.edu/main-entry/agawaateshin-vai,s/he is in shade; s/he is in shadow
agawaateshkan,vti,https://ojibwe.lib.umn.edu/main-entry/agawaateshkan-vti,shade it; cast a shadow on it
agawaateshkaw,vta,https://ojibwe.lib.umn.edu/main-entry/agawaateshkaw-vta,shade h/; cast a shadow on h/
agawaateshkaa,vii,https://ojibwe.lib.umn.edu/main-entry/agawaateshkaa-vii,it moves into the shade or or a shadow
agawaateshkaa,vai,https://ojibwe.lib.umn.edu/main-entry/agawaateshkaa-vai,s/he moves into the shade or a shadow
agawaateyaa,vii,https://ojibwe.lib.umn.edu/main-entry/agawaateyaa-vii,there is shadow; there is shade
agazinaagozi,vai,https://ojibwe.lib.umn.edu/main-entry/agazinaagozi-vai,
agazitaagozi,vai,https://ojibwe.lib.umn.edu/main-entry/agazitaagozi-vai,s/he sounds embarrassing (what s/he says is embarrassing)
agazitaagwad,vii,https://ojibwe.lib.umn.edu/main-entry/agazitaagwad-vii,it sounds embarrassing
agazom,vta,https://ojibwe.lib.umn.edu/main-entry/agazom-vta,embarrass h/ by speech
agazondiwag,vai,https://ojibwe.lib.umn.edu/main-entry/agazondiwag-vai,they speak and embarrass each other
agazondizo,vai,https://ojibwe.lib.umn.edu/main-entry/agazondizo-vai,s/he embarasses h/ self in speech
agazonge,vai,https://ojibwe.lib.umn.edu/main-entry/agazonge-vai,s/he speaks embarassing people
agaamajiw,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaamajiw-adv-loc,across on the other hill or mountain
agaamakiing,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaamakiing-adv-loc,"overseas, in Europe"
agaamashkiig,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaamashkiig-adv-loc,across a muskeg
agaamashkosiw,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaamashkosiw-adv-loc,on the other side of a meadow or hay field
agaamaya'ii,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaamaya-ii-adv-loc,"across something, across the way"
agaamayi'ii,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaamayi-ii-adv-loc,on the other side of it; across it
agaamaabik,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaamaabik-adv-loc,across on the other rock or rocks
agaamaakwaa,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaamaakwaa-adv-loc,in the woods on the other side of the clearing or across an open area
agaami-,pv-lex,https://ojibwe.lib.umn.edu/main-entry/agaami-pv-lex,on the other side of; across
agaami-ishkodewidaabaanikana,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaami-ishkodewidaabaanikana-adv-loc,on the other side of the tracks
agaami-oodena,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaami-oodena-adv-loc,"across town, on the other side of town"
agaami-zaaga'igan,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaami-zaaga-igan-adv-loc,across the lake
agaami-ziibi,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaami-ziibi-adv-loc,across the river
agaamikana,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaamikana-adv-loc,"on the other side of the road or trail, across the road or trail"
agaamikwam,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaamikwam-adv-loc,across the ice on the other side
agaamindekaw,vta,https://ojibwe.lib.umn.edu/main-entry/agaamindekaw-vta,live across from h/ in the lodge
agaamindekodaadiwag,vai,https://ojibwe.lib.umn.edu/main-entry/agaamindekodaadiwag-vai,they live cross from each other in the lodge
agaamindesi,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaamindesi-adv-loc,on the other side of the lodge (across the fire)
agaaming,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaaming-adv-loc,"on the other side of a body of water (a lake, a river), across a body of water (a lake, a river)"
agaamisag,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaamisag-adv-loc,across in the other room
agaamishkode,adv-loc,https://ojibwe.lib.umn.edu/main-entry/agaamishkode-adv-loc,"on the other side of the fire, across the fire"
agaamiigin,ni,https://ojibwe.lib.umn.edu/main-entry/agaamiigin-ni,the front of a page; the recto
agaasadegamaa,vii,https://ojibwe.lib.umn.edu/main-entry/agaasadegamaa-vii,it is a narrow lake
agaasade',vta,https://ojibwe.lib.umn.edu/main-entry/agaasade-vta,make h/ narrow
agaasadekamigaa,vii,https://ojibwe.lib.umn.edu/main-entry/agaasadekamigaa-vii,it is a narrow stretch of ground
agaasademon,vii,https://ojibwe.lib.umn.edu/main-entry/agaasademon-vii,it is a narrow road or trail
agaasadengwe,vai,https://ojibwe.lib.umn.edu/main-entry/agaasadengwe-vai,s/he has a narrow face
agaasadesagaa,vii,https://ojibwe.lib.umn.edu/main-entry/agaasadesagaa-vii,"it has a narrow floor area, is a narrow room"
agaasadetigweyaa,vii,https://ojibwe.lib.umn.edu/main-entry/agaasadetigweyaa-vii,it (a river) is narrow
agaasadetoon,vti2,https://ojibwe.lib.umn.edu/main-entry/agaasadetoon-vti2,make it narrow
agaasadeyaa,vii,https://ojibwe.lib.umn.edu/main-entry/agaasadeyaa-vii,it is narrow
agaasadeyaabikad,vii,https://ojibwe.lib.umn.edu/main-entry/agaasadeyaabikad-vii,it (mineral) is narrow
agaasadeyaabikizi,vai,https://ojibwe.lib.umn.edu/main-entry/agaasadeyaabikizi-vai,it (animate; mineral) is narrow
agaasadeyaabiigad,vii,https://ojibwe.lib.umn.edu/main-entry/agaasadeyaabiigad-vii,"it (string-like) is narrow, is thin (in width)"
agaasadeyaabiigizi,vai,https://ojibwe.lib.umn.edu/main-entry/agaasadeyaabiigizi-vai,"it (animate; string-like) is narrow, is thin (in width)"
agaasadeyaakozi,vai,https://ojibwe.lib.umn.edu/main-entry/agaasadeyaakozi-vai,it (animate; stick-like) is narrow
agaasadeyaakwad,vii,https://ojibwe.lib.umn.edu/main-entry/agaasadeyaakwad-vii,it (stick-like) is narrow
agaasadeyiigad,vii,https://ojibwe.lib.umn.edu/main-entry/agaasadeyiigad-vii,it (sheet-like) is narrow
agaasadeyiigizi,vai,https://ojibwe.lib.umn.edu/main-entry/agaasadeyiigizi-vai,it (animate; sheet-like) is narrow
agaasadeyoonagad,vii,https://ojibwe.lib.umn.edu/main-entry/agaasadeyoonagad-vii,it (a boat) is narrow
agaasadezhan,vti,https://ojibwe.lib.umn.edu/main-entry/agaasadezhan-vti,cut it narrow
agaasadezi,vai,https://ojibwe.lib.umn.edu/main-entry/agaasadezi-vai,s/he is narrow
agaasadezide,vai,https://ojibwe.lib.umn.edu/main-entry/agaasadezide-vai,s/he has narrow feet
agaasadezhwi,vta,https://ojibwe.lib.umn.edu/main-entry/agaasadezhwi-vta,cut it (animate) narrow
agaasadinaa,vii,https://ojibwe.lib.umn.edu/main-entry/agaasadinaa-vii,there is a small hill
agaasashkiigaa,vii,https://ojibwe.lib.umn.edu/main-entry/agaasashkiigaa-vii,it is a small muskeg
agaasate,vii,https://ojibwe.lib.umn.edu/main-entry/agaasate-vii,it is a small house or room
agaasaa,vii,https://ojibwe.lib.umn.edu/main-entry/agaasaa-vii,it is small
agaasaabaminaagozi,vai,https://ojibwe.lib.umn.edu/main-entry/agaasaabaminaagozi-vai,"s/he, it (animate) looks small, seems small"
agaasaabikad,vii,https://ojibwe.lib.umn.edu/main-entry/agaasaabikad-vii,it (mineral) is small
agaasaabikizi,vai,https://ojibwe.lib.umn.edu/main-entry/agaasaabikizi-vai,it (animate; mineral) is small; there is a crescent moon
agaasaabiigad,vii,https://ojibwe.lib.umn.edu/main-entry/agaasaabiigad-vii,"it (string-like) is small, is fine"
agaasaabiigizi,vai,https://ojibwe.lib.umn.edu/main-entry/agaasaabiigizi-vai,"it (animate; string-like) is small, is fine"
agaasaakozi,vai,https://ojibwe.lib.umn.edu/main-entry/agaasaakozi-vai,it (animate; stick-like) is small
agaasaakwad,vii,https://ojibwe.lib.umn.edu/main-entry/agaasaakwad-vii,it (stick-like) is small
agaasaakwashkad,vii,https://ojibwe.lib.umn.edu/main-entry/agaasaakwashkad-vii,it (plant) has a small thin stalk
agaasaakwaanowe,vai,https://ojibwe.lib.umn.edu/main-entry/agaasaakwaanowe-vai,s/he has a small furry tail
agaasaanowe,vai,https://ojibwe.lib.umn.edu/main-entry/agaasaanowe-vai,s/he (an animal) has a small skinny tail
agaasaatoon,vti2,https://ojibwe.lib.umn.edu/main-entry/agaasaatoon-vti2,make it small
agaasendan,vti,https://ojibwe.lib.umn.edu/main-entry/agaasendan-vti,"think little of it, think it insignificant"
agaasendaagozi,vai,https://ojibwe.lib.umn.edu/main-entry/agaasendaagozi-vai,s/he is thought insignificant
agaasendaagwad,vii,https://ojibwe.lib.umn.edu/main-entry/agaasendaagwad-vii,it is thought insignificant
